Gene stable ID,Transcript stable ID
PVX_087690,EDL43672
PVX_087695,EDL43673
PVX_087700,EDL43674
PVX_087705,EDL43675
PVX_087710,EDL43676
PVX_087720,EDL43678
PVX_087725,EDL43679
PVX_087730,EDL43680
PVX_087735,EDL43681
PVX_087740,EDL43682
PVX_087745,EDL43683
PVX_087750,EDL43684
PVX_087755,EDL43685
PVX_087760,EDL43686
PVX_087775,EDL43688
PVX_087780,EDL43689
PVX_087785,EDL43690
PVX_087790,EDL43691
PVX_087795,EDL43692
PVX_087800,EDL43693
PVX_087802,EDL43694
PVX_087805,EDL43695
PVX_087810,EDL43696
PVX_087815,EDL43697
PVX_087820,EDL43698
PVX_087825,EDL43699
PVX_087835,EDL43701
PVX_087840,EDL43702
PVX_087845,EDL43703
PVX_087860,EDL43706
PVX_087865,EDL43707
PVX_087870,EDL43708
PVX_087875,EDL43709
PVX_087880,EDL43710
PVX_087885,EDL43711
PVX_087895,EDL43713
PVX_087900,EDL43714
PVX_087905,EDL43715
PVX_087910,EDL43716
PVX_087915,EDL43717
PVX_087920,EDL43718
PVX_087925,EDL43719
PVX_087930,EDL43720
PVX_087935,EDL43721
PVX_087940,EDL43722
PVX_087945,EDL43723
PVX_087950,EDL43724
PVX_087955,EDL43725
PVX_087960,EDL43726
PVX_087965,EDL43727
PVX_087970,EDL43728
PVX_087975,EDL43729
PVX_087980,EDL43730
PVX_087985,EDL43731
PVX_087990,EDL43732
PVX_087995,EDL43733
PVX_088000,EDL43734
PVX_088005,EDL43735
PVX_088010,EDL43736
PVX_088015,EDL43737
PVX_088020,EDL43738
PVX_088030,EDL43740
PVX_088035,EDL43741
PVX_088040,EDL43742
PVX_088045,EDL43743
PVX_088050,EDL43744
PVX_088055,EDL43745
PVX_088060,EDL43746
PVX_088065,EDL43747
PVX_088070,EDL43748
PVX_088075,EDL43749
PVX_088080,EDL43750
PVX_088085,EDL43751
PVX_088090,EDL43752
PVX_088095,EDL43753
PVX_088105,EDL43755
PVX_088110,EDL43756
PVX_088120,EDL43758
PVX_088125,EDL43759
PVX_088130,EDL43760
PVX_088140,EDL43761
PVX_088145,EDL43762
PVX_088150,EDL43763
PVX_088165,EDL43765
PVX_088170,EDL43766
PVX_088175,EDL43767
PVX_088180,EDL43768
PVX_088185,EDL43769
PVX_088190,EDL43770
PVX_088195,EDL43771
PVX_088200,EDL43772
PVX_088205,EDL43773
PVX_088215,EDL43775
PVX_088220,EDL43776
PVX_088225,EDL43777
PVX_088230,EDL43778
PVX_088235,EDL43779
PVX_088240,EDL43780
PVX_088245,EDL43781
PVX_088250,EDL43782
PVX_088255,EDL43783
PVX_088265,EDL43784
PVX_088275,EDL43786
PVX_088280,EDL43787
PVX_093495,EDL42907
PVX_093500,EDL42908
PVX_093505,EDL42909
PVX_093510,EDL42910
PVX_093515,EDL42911
PVX_093520,EDL42912
PVX_093530,EDL42914
PVX_093535,EDL42915
PVX_093540,EDL42916
PVX_093545,EDL42917
PVX_093550,EDL42918
PVX_093555,EDL42919
PVX_093560,EDL42920
