Gene stable ID,Transcript stable ID
PBANKA_144490,CDS52179
PBANKA_144500,CDS52181
PBANKA_144510,CDS52183
PBANKA_144520,CDS52185
PBANKA_144530,CDS52187
PBANKA_144540,CDS52189
PBANKA_144550,CDS52191
PBANKA_144560,CDS52193
PBANKA_144570,CDS52195
PBANKA_144580,CDS52197
PBANKA_144590,CDS52199
PBANKA_144600,CDS52201
PBANKA_144610,CDS52202
PBANKA_144620,CDS52204
PBANKA_144630,CDS52206
PBANKA_144640,CDS52208
PBANKA_144650,CDS52210
PBANKA_144660,CDS52212
PBANKA_144670,CDS52214
PBANKA_144680,CDS52216
PBANKA_144690,CDS52218
PBANKA_144700,CDS52220
PBANKA_144710,CDS52222
PBANKA_144720,CDS52224
PBANKA_144730,CDS52226
PBANKA_144740,CDS52228
PBANKA_144750,CDS52229
PBANKA_144760,CDS52231
PBANKA_144770,CDS52233
PBANKA_144780,CDS52235
PBANKA_144790,CDS52237
PBANKA_144800,CDS52239
PBANKA_144810,CDS52241
PBANKA_144820,CDS52243
PBANKA_144830,CDS52245
PBANKA_144840,CDS52247
PBANKA_144850,CDS52249
PBANKA_144860,CDS52251
PBANKA_144870,CDS52253
PBANKA_144880,CDS52255
PBANKA_144890,CDS52256
PBANKA_144900,CDS52258
PBANKA_144910,CDS52260
PBANKA_144920,CDS52262
PBANKA_144930,CDS52264
PBANKA_144940,CDS52265
PBANKA_144950,CDS52267
PBANKA_144960,CDS52269
PBANKA_144970,CDS52272
PBANKA_144980,CDS52273
PBANKA_144990,CDS52275
PBANKA_145000,CDS52277
PBANKA_145010,CDS52279
PBANKA_145020,CDS52282
PBANKA_145030,CDS52284
PBANKA_145040,CDS52286
PBANKA_145050,CDS52288
PBANKA_145060,CDS52289
PBANKA_145070,CDS52290
PBANKA_145080,CDS52292
PBANKA_145090,CDS52294
PBANKA_145100,CDS52296
PBANKA_145110,CDS52298
PBANKA_145120,CDS52300
PBANKA_145130,CDS52302
PBANKA_145140,CDS52304
PBANKA_145150,CDS52306
PBANKA_145160,CDS52308
PBANKA_145170,CDS52310
PBANKA_145180,CDS52312
PBANKA_145190,CDS52314
PBANKA_145200,CDS52316
PBANKA_145210,CDS52317
PBANKA_145220,CDS52319
PBANKA_145230,CDS52321
PBANKA_145240,CDS52323
PBANKA_145250,CDS52324
PBANKA_145260,CDS52326
PBANKA_145270,CDS52328
PBANKA_145280,CDS52330
PBANKA_145290,CDS52331
PBANKA_145300,CDS52333
PBANKA_145310,CDS52335
PBANKA_145320.2,CDS52337
PBANKA_145320.1,CDS52339
PBANKA_145330,CDS52340
PBANKA_145340,CDS52342
PBANKA_145350,CDS52344
PBANKA_145360,CDS52346
PBANKA_145370,CDS52348
PBANKA_145380,CDS52350
PBANKA_145390,CDS52351
PBANKA_145400,CDS52353
PBANKA_145410,CDS52355
PBANKA_145420,CDS52357
PBANKA_145430,CDS52359
PBANKA_145440,CDS52361
PBANKA_145450,CDS52363
PBANKA_145460,CDS52365
PBANKA_145470,CDS52367
PBANKA_145480,CDS52369
PBANKA_145490,CDS52371
PBANKA_145500,CDS52373
PBANKA_145510,CDS52375
PBANKA_145520,CDS52377
PBANKA_145530,CDS52379
PBANKA_145540,CDS52380
PBANKA_145550,CDS52382
PBANKA_145560,CDS52384
PBANKA_145570,CDS52386
PBANKA_145580,CDS52388
PBANKA_145590,CDS52390
PBANKA_145600,CDS52392
PBANKA_145610,CDS52394
PBANKA_145620,CDS52396
PBANKA_145630,CDS52398
PBANKA_145640,CDS52400
PBANKA_145650,CDS52402
PBANKA_145660,CDS52404
PBANKA_145670,CDS52406
PBANKA_145680,CDS52408
PBANKA_145690,CDS52410
PBANKA_145700,CDS52411
PBANKA_145710,CDS52414
PBANKA_145720,CDS52415
PBANKA_145730,CDS52418
PBANKA_145740,CDS52421
PBANKA_145750,CDS52425
PBANKA_145760,CDS52428
PBANKA_145770,CDS52429
PBANKA_145780,CDS52431
PBANKA_145790,CDS52433
PBANKA_145800,CDS52435
PBANKA_145810,CDS52437
PBANKA_145820,CDS52439
PBANKA_145830,CDS52441
PBANKA_145840,CDS52442
PBANKA_145850,CDS52444
PBANKA_145860,CDS52446
PBANKA_145870,CDS52448
PBANKA_145880,CDS52450
PBANKA_145890,CDS52451
PBANKA_145900,CDS52454
PBANKA_145910,CDS52455
PBANKA_145920,CDS52457
PBANKA_145930,CDS52459
PBANKA_145940,CDS52461
PBANKA_145950,CDS52463
PBANKA_145960,CDS52465
PBANKA_145970,CDS52467
PBANKA_145980,CDS52468
PBANKA_145990,CDS52470
PBANKA_146000,CDS52472
PBANKA_146010,CDS52474
PBANKA_146020,CDS52476
PBANKA_146030,CDS52478
PBANKA_146040,CDS52480
PBANKA_146050,CDS52482
PBANKA_146060,CDS52484
PBANKA_146070,CDS52485
PBANKA_146080,CDS52487
PBANKA_146090,CDS52489
PBANKA_146100,CDS52491
PBANKA_146110,CDS52493
PBANKA_146120,CDS52494
PBANKA_146130,CDS52496
PBANKA_146140,CDS52498
PBANKA_146150,CDS52500
PBANKA_146160,CDS52502
PBANKA_146170,CDS52504
PBANKA_146180,CDS52506
PBANKA_146190,CDS52508
PBANKA_146200,CDS52510
PBANKA_146205,CDS52511
PBANKA_146210,CDS52513
PBANKA_146220,CDS52515
PBANKA_146230,CDS52517
PBANKA_146240,CDS52519
PBANKA_146250,CDS52521
PBANKA_146260,CDS52523
PBANKA_146270,CDS52525
PBANKA_146280,CDS52527
PBANKA_146290,CDS52529
PBANKA_146300,CDS52530
PBANKA_146310,CDS52532
